SAL_CODE_2021,SAL_NAME_2021,STATE_CODE_2021
10255,Belanglo,1
10256,Belbora,1
10257,Belfield,1
10258,Belford,1
10259,Belfrayden,1
10260,Belgravia,1
10261,Belimbla Park,1
10262,Bell (NSW),1
10263,Bella Vista,1
10264,Bellambi,1
10265,Bellangry,1
10266,Bellata,1
10267,Bellawongarah,1
10268,Bellbird,1
10269,Bellbird Heights,1
10270,Bellbrook,1
10271,Bellevue Hill,1
10272,Bellimbopinni,1
10273,Bellingen,1
10274,Bellmount Forest,1
10275,Belltrees,1
10276,Belmont (NSW),1
10277,Belmont North,1
10278,Belmont South,1
10279,Belmore,1
10280,Belmore River,1
10281,Beloka,1
10282,Belowra,1
10283,Belrose,1
10284,Bemboka,1
10285,Ben Bullen,1
10286,Ben Lomond (NSW),1
10287,Benandarah,1
10288,Bendalong,1
10289,Bendemeer,1
10290,Bendick Murrell,1
10291,Bendolba,1
10292,Bendoura,1
10293,Benerembah,1
10294,Bengalla,1
10295,Bennetts Green,1
10296,Benolong,1
10297,Bensville,1
10298,Bentley (NSW),1
10299,Berala,1
10300,Berambing,1
10301,Beresfield,1
10302,Bergalia,1
10303,Berkeley,1
10304,Berkeley Vale,1
10305,Berkshire Park,1
10306,Berlang,1
10307,Bermagui,1
10308,Berowra,1
10309,Berowra Heights,1
10310,Berowra Waters,1
10311,Berrambool,1
10312,Berrara,1
10313,Berremangra,1
10314,Berrico,1
10315,Berridale,1
10316,Berrigal,1
10317,Berrigan,1
10318,Berrilee,1
10319,Berrima,1
10320,Berringer Lake,1
10321,Berry,1
10322,Berry Jerry,1
10323,Berry Mountain,1
10324,Berry Park,1
10325,Berthong,1
10326,Beryl,1
10327,Bethungra,1
10328,Bevendale,1
10329,Beverley Park,1
10330,Beverly Hills,1
10331,Bewong,1
10332,Bexhill,1
10333,Bexley,1
10334,Bexley North,1
10335,Biala,1
10336,Bibbenluke,1
10337,Biddon,1
10338,Bidgeemia,1
10339,Bidwill (NSW),1
10340,Bielsdown Hills,1
10341,Big Hill (NSW),1
10342,Big Jacks Creek,1
10343,Big Ridge,1
10344,Big Springs,1
10345,Bigga,1
10346,Bilambil,1
10347,Bilambil Heights,1
10348,Bilbul,1
10349,Bilgola Beach,1
10350,Bilgola Plateau,1
10351,Billeroy,1
10352,Billilingra,1
10353,Billimari,1
10354,Billinudgel,1
10355,Billys Creek,1
10356,Billywillinga,1
10357,Bilpin,1
10358,Bimberi,1
10359,Bimbi,1
10360,Bimbimbie,1
10361,Binalong,1
10362,Binda,1
10363,Bindera,1
10364,Bingara,1
10365,Bingeebeebra Creek,1
10366,Bingie,1
10367,Bingleburra,1
10368,Biniguy,1
10369,Binjura,1
10370,Binna Burra (NSW),1
10371,Binnaway,1
10372,Binya,1
10373,Birchgrove,1
10374,Birdwood (NSW),1
10375,Birganbigil,1
10376,Birmingham Gardens,1
10377,Birriwa,1
10378,Birrong,1
10379,Bishops Bridge,1
10380,Bithramere,1
10381,Black Creek (Port Macquarie-Hastings - NSW),1
10382,Black Creek (Snowy Valleys - NSW),1
10383,Black Head,1
10384,Black Hill (NSW),1
10385,Black Hollow,1
10386,Black Mountain (NSW),1
10387,Black Range (NSW),1
10388,Black Springs (NSW),1
10389,Blackalls Park,1
10390,Blackbutt (NSW),1
10391,Blackett,1
10392,Blackheath,1
10393,Blackmans Flat,1
10394,Blackmans Point,1
10395,Blacksmiths,1
10396,Blacktown,1
10397,Blackville,1
10398,Blackwall (NSW),1
10399,Blair Athol (NSW),1
10400,Blairmount,1
10401,Blakebrook,1
10402,Blakehurst,1
10403,Blakney Creek,1
10404,Bland,1
10405,Blandford,1
10406,Blaxland (NSW),1
10407,Blaxlands Creek,1
10408,Blaxlands Ridge,1
10409,Blayney,1
10410,Bligh Park,1
10411,Blighty,1
10412,Blowering,1
10413,Blue Bay,1
10414,Blue Haven,1
10415,Blue Knob,1
10416,Blue Mountains National Park,1
10417,Blue Nobby,1
10418,Blue Vale,1
10419,Blueys Beach,1
10420,Boambee,1
10421,Boambee East,1
10422,Boambolo,1
